Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-],Rounded_Time
-1.7313332062766378,-1.7313332062766373,1.524704731671766,-0.25703832943643307,-1.8474115418330344,1.6374401820619369,-40.02690025400921,1.6376330398740442,1.6375971947258268,-1.7316748060866292
-1.7308812061628278,-1.7308812061628274,0.8342998549000435,-0.2671768788327323,-1.8474115418330344,1.6368802559225122,0.9860596981569342,1.637062209303886,1.637024822610878,-1.730922721480294
-1.7302050861922578,-1.7302050861922573,0.516770777212785,-0.2899898556192167,-1.9703056114442015,1.6359803746270085,-0.19700645590958488,1.6361763222431682,1.6361365431860249,-1.730170636873959
-1.729379302290493,-1.7293793022904924,0.6082033011172076,-0.10240436018108105,-1.9703056114442015,1.6350205012451375,-0.5913618415548635,1.6352151824971217,1.6351728078537475,-1.7294185522676238
-1.7286979177595252,-1.7286979177595247,0.4335558122951545,-0.28618851991801003,-1.9703056114442015,1.6342206067602454,0.5917043125116556,1.6343991892689427,1.6343546110117906,-1.7286664676612886
-1.727948093943444,-1.7279480939434433,0.23152728700723094,-0.482647107045124,-1.9703056114442015,1.6331007544813962,0.19734892686637218,1.6332974196222543,1.6332498660036774,-1.7279143830549535
-1.7271960138871902,-1.7271960138871898,0.34978867938236485,-0.2899898556192167,-1.9703056114442015,1.6320208969267918,0.19734892686637218,1.6322000169610051,1.6321494997741757,-1.7271622984486183
-1.7263709820654791,-1.7263709820654787,0.34813217539688435,-0.28492306221068925,-1.9703056114442015,1.6309210420100646,-0.19700645590958488,1.6311148350155462,1.6310613872628694,-1.7264102138422832
-1.7256911016946244,-1.725691101694624,0.17569335855547097,-0.4788457713439173,-1.9703056114442015,1.6299211739039494,0.5917043125116556,1.6301097662058428,1.6300536042352025,-1.725658129235948
-1.7248653177928595,-1.724865317792859,0.1411990990931281,-0.482647107045124,-1.8474115418330344,1.6286013480038772,0.19734892686637218,1.6287841829499246,1.6287244412026058,-1.724906044629613
-1.7241124856565468,-1.7241124856565464,0.29067422342994903,-0.28618851991801003,-1.8474115418330344,1.6275214904492727,0.19734892973569373,1.627712104771043,1.627649467844984,-1.7241539600232778
-1.7233619097604063,-1.7233619097604058,0.12697265310018482,-0.4788457713439173,-1.8474115418330344,1.6264016381704234,-0.19700645590958488,1.6265931353445904,1.6265274766085935,-1.7234018754169427
-1.7226835335496697,-1.7226835335496693,0.10504833564530476,-0.482647107045124,-1.8474115418330344,1.625321780615819,-0.5913618415548635,1.6255047162886143,1.625436118244856,-1.7226497908106075
-1.7218577496478993,-1.7218577496478988,0.08919786613718467,-0.4839175273316893,-1.8474115418330344,1.6239819573536243,-0.19700645590958488,1.6241777108976043,1.624105529236649,-1.7218977062042724
-1.7211041654315329,-1.7211041654315327,0.07714761165457737,-0.48518298503901,-1.8474115418330344,1.6227821156262856,0.19734892973569373,1.622964875351707,1.622889418392589,-1.7211456215979373
-1.7204265413008502,-1.7204265413008497,0.06675386115744913,-0.4864534053255751,-1.8474115418330344,1.621682260709559,0.5917043125116556,1.621873257634494,1.6217948527295363,-1.7203935369916021
-1.7196714529243713,-1.7196714529243706,0.055775462194857954,-0.48771886303289597,-1.8474115418330344,1.6204624216200982,2.563481232130113,1.620655990511895,1.6205742983411715,-1.719641452385267
-1.7189223811883434,-1.718922381188343,0.04648604768804959,-0.48771886303289597,-1.8474115418330344,1.6192625798927598,-0.19700645590958488,1.6194474607424798,1.6193625049014702,-1.7188893677789319
-1.7181710532121492,-1.7181710532121486,-0.12270472212301022,-0.6943209621355535,-1.7245174722218635,1.6179227566305652,-0.1970064587789016,1.6181124313845736,1.618023870257409,-1.7181372831725967
-1.7174189731558958,-1.717418973155895,-0.15115761410889827,-0.7019236335379668,-1.8474115418330344,1.616482946557759,-0.1970064587789016,1.6166615887644902,1.6165691095940409,-1.7173851985662616
-1.7166661410195831,-1.7166661410195827,-0.4741758912774524,-1.1442780222248594,-1.8474115418330344,1.6147631734152408,-0.19700645590958488,1.6149506246289114,1.6148535249493547,-1.7166331139599265
-1.7159148130433888,-1.7159148130433883,-0.5278336282188749,-1.1708923347125502,-1.8474115418330344,1.6128034319272546,0.9860596952876223,1.6129860398573808,1.612883634758707,-1.7158810293535913
-1.7150890291416183,-1.7150890291416179,-0.2551925604910889,-0.7513558853913868,-1.8474115418330344,1.6109236798877578,0.19734892973569373,1.6110994318838174,1.610991931944669,-1.7151289447472562
-1.7143361970053113,-1.7143361970053108,-0.254088224500769,-0.7538917633852725,-1.8474115418330344,1.6094038803664623,0.19734892686637218,1.6095877806163483,1.6094761984183683,-1.714376860140921
-1.7136585728746285,-1.713658572874628,-0.2639298070027366,-0.7602289770803652,-1.8474115418330344,1.6080440597421455,-0.1970064587789016,1.608221507029027,1.6081062351689293,-1.713624775534586
